ID,ESN,MTH,DAY,HR_GMT,MIN,YEARDAY,LON,LAT,DEPTH
246400711,4536410,6,4,16,7,155.6715278,-70.32241,40.95511,-1
246400711,4536410,6,4,16,7,155.6715278,-70.32241,40.95511,-1
246400711,4536410,6,4,17,15,155.71875,-70.3308,40.94397,-1
246400711,4536410,6,4,17,15,155.71875,-70.3308,40.94397,-1
246400711,4536410,6,4,18,16,155.7611111,-70.34419,40.94497,-1
246400711,4536410,6,4,19,30,155.8125,-70.35934,40.94984,-1
246400711,4536410,6,4,18,16,155.7611111,-70.34419,40.94497,-1
246400711,4536410,6,4,19,30,155.8125,-70.35934,40.94984,-1
246400711,4536410,6,4,20,24,155.85,-70.37236,40.95903,-1
246400711,4536410,6,4,21,29,155.8951389,-70.37979,40.97152,-1
246400711,4536410,6,4,20,24,155.85,-70.37236,40.95903,-1
246400711,4536410,6,4,21,29,155.8951389,-70.37979,40.97152,-1
246400711,4536410,6,4,22,38,155.9430556,-70.37929,40.9855,-1
246400711,4536410,6,4,23,36,155.9833333,-70.3729,40.99693,-1
246400711,4536410,6,4,22,38,155.9430556,-70.37929,40.9855,-1
246400711,4536410,6,4,23,36,155.9833333,-70.3729,40.99693,-1
246400711,4536410,6,5,0,29,156.0201389,-70.36292,41.00508,-1
246400711,4536410,6,5,1,24,156.0583333,-70.3511,41.01077,-1
246400711,4536410,6,5,0,29,156.0201389,-70.36292,41.00508,-1
246400711,4536410,6,5,1,24,156.0583333,-70.3511,41.01077,-1
246400711,4536410,6,5,2,28,156.1027778,-70.34035,41.01219,-1
246400711,4536410,6,5,3,35,156.1493056,-70.33541,41.00819,-1
246400711,4536410,6,5,2,28,156.1027778,-70.34035,41.01219,-1
246400711,4536410,6,5,3,35,156.1493056,-70.33541,41.00819,-1
246400711,4536410,6,5,4,33,156.1895833,-70.33829,41.00325,-1
246400711,4536410,6,5,5,24,156.225,-70.3449,40.9996,-1
246400711,4536410,6,5,4,33,156.1895833,-70.33829,41.00325,-1
246400711,4536410,6,5,5,24,156.225,-70.3449,40.9996,-1
246400711,4536410,6,5,6,27,156.26875,-70.35766,40.99541,-1
246400711,4536410,6,5,7,37,156.3173611,-70.37519,40.99506,-1
246400711,4536410,6,5,6,27,156.26875,-70.35766,40.99541,-1
246400711,4536410,6,5,7,37,156.3173611,-70.37519,40.99506,-1
246400711,4536410,6,5,8,27,156.3520833,-70.38728,40.99828,-1
246400711,4536410,6,5,9,29,156.3951389,-70.39815,41.00552,-1
246400711,4536410,6,5,8,27,156.3520833,-70.38728,40.99828,-1
246400711,4536410,6,5,9,29,156.3951389,-70.39815,41.00552,-1
246400711,4536410,6,5,10,40,156.4444444,-70.40294,41.01587,-1
246400711,4536410,6,5,11,30,156.4791667,-70.40152,41.02278,-1
246400711,4536410,6,5,10,40,156.4444444,-70.40294,41.01587,-1
246400711,4536410,6,5,11,30,156.4791667,-70.40152,41.02278,-1
246400711,4536410,6,5,12,39,156.5270833,-70.39556,41.03176,-1
246400711,4536410,6,5,13,43,156.5715278,-70.3871,41.03828,-1
246400711,4536410,6,5,12,39,156.5270833,-70.39556,41.03176,-1
246400711,4536410,6,5,13,43,156.5715278,-70.3871,41.03828,-1
246400711,4536410,6,5,14,48,156.6166667,-70.37878,41.04245,-1
246400711,4536410,6,5,15,52,156.6611111,-70.37412,41.04435,-1
246400711,4536410,6,5,14,48,156.6166667,-70.37878,41.04245,-1
246400711,4536410,6,5,15,52,156.6611111,-70.37412,41.04435,-1
246400711,4536410,6,5,17,1,156.7090278,-70.37329,41.04328,-1
246400711,4536410,6,5,18,3,156.7520833,-70.37614,41.04089,-1
246400711,4536410,6,5,17,1,156.7090278,-70.37329,41.04328,-1
246400711,4536410,6,5,18,3,156.7520833,-70.37614,41.04089,-1
246400711,4536410,6,5,18,56,156.7888889,-70.38105,41.03972,-1
246400711,4536410,6,5,19,46,156.8236111,-70.387,41.03908,-1
246400711,4536410,6,5,18,56,156.7888889,-70.38105,41.03972,-1
246400711,4536410,6,5,19,46,156.8236111,-70.387,41.03908,-1
